name,link,price_simbol,price,price_discount,best_seller,promotional
Bicicleta de paseo Rodada 24 Azul...,https://www.linio.com.mx/p/bicicleta-de-paseo-rodada-24-azul-ym1ofe?qid=9f1809bb384d6109c23de67250aa7ea8&oid=UN503SP04GSL7LMX&position=31&sku=UN503SP04GSL7LMX,,"$2,899.99",,False,False
Mini Bomba Manual Para Bicicleta...,https://www.linio.com.mx/p/mini-bomba-manual-para-bicicleta-qeef2z?qid=9f1809bb384d6109c23de67250aa7ea8&oid=TR827SP0VXH54LMX&position=32&sku=TR827SP0VXH54LMX,,$184.00,- 11%,False,False
Kit Herramientas Reparación Bicicletas...,https://www.linio.com.mx/p/kit-herramientas-reparacio-n-bicicletas-tramontina-17-pzs-qecgss?qid=9f1809bb384d6109c23de67250aa7ea8&oid=TR487SP0VVIPBLMX&position=33&sku=TR487SP0VVIPBLMX,,$165.00,- 28%,False,False
Bandana Tubular Mascada Mascarilla Cubre...,https://www.linio.com.mx/p/bandana-tubular-mascada-mascarilla-cubreboca-n2wnlj?qid=9f1809bb384d6109c23de67250aa7ea8&oid=RE608SP18BXCBLMX&position=34&sku=RE608SP18BXCBLMX,,$90.00,,False,False
Bandana Tubular Mascada Mascarilla Cubre...,https://www.linio.com.mx/p/bandana-tubular-mascada-mascarilla-cubreboca-s3wfhp?qid=9f1809bb384d6109c23de67250aa7ea8&oid=RE608SP0O5BXNLMX&position=35&sku=RE608SP0O5BXNLMX,,$90.00,,False,False
Ropa De Ciclismo Jersey Maillot Rex Fact...,https://www.linio.com.mx/p/ropa-de-ciclismo-jersey-maillot-rex-factory-j526-vd4nrt?qid=9f1809bb384d6109c23de67250aa7ea8&oid=RE608SP0DQGF1LMX&position=36&sku=RE608SP0DQGF1LMX,,$645.00,,False,False
bandana tubular faceshield mexico ciclis...,https://www.linio.com.mx/p/bandana-tubular-faceshield-mexico-ciclismo-senderismo-moto-on5e0o?qid=9f1809bb384d6109c23de67250aa7ea8&oid=OE599SP15HQRFLMX&position=37&sku=OE599SP15HQRFLMX,,$40.00,- 55%,False,False
bandana tubular faceshield con reflejant...,https://www.linio.com.mx/p/bandana-tubular-faceshield-con-reflejante-ciclismo-senderismo-moto-qaoqig?qid=9f1809bb384d6109c23de67250aa7ea8&oid=OE599SP0ZJEPNLMX&position=38&sku=OE599SP0ZJEPNLMX,,$50.00,- 44%,False,False
Bicicleta Marca Mercurio Mod. SPYRO R16...,https://www.linio.com.mx/p/bicicleta-marca-mercurio-mod-spyro-r16-js5h24?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP1JJF88LMX&position=39&sku=ME985SP1JJF88LMX,,"$2,189.00",- 15%,False,False
Bicicleta Mercurio DS Kaizer R24 Amarill...,https://www.linio.com.mx/p/bicicleta-mercurio-ds-kaizer-r24-amarillo-2020-n05w0d?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP1BJ1RHLMX&position=40&sku=ME985SP1BJ1RHLMX,,"$3,699.00",- 7%,False,False
Bicicleta Mercurio Radar 26 Rojo 2020...,https://www.linio.com.mx/p/bicicleta-mercurio-radar-26-rojo-2020-n05vat?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP1B2471LMX&position=41&sku=ME985SP1B2471LMX,,"$2,778.00",- 7%,False,False
Bicicleta Kaizer DH R29 Color Esmeralda...,https://www.linio.com.mx/p/bicicleta-kaizer-dh-r29-color-esmeralda-2020-or74ws?qid=9f1809bb384d6109c23de67250aa7ea8&oid=ME985SP121G0BLMX&position=42&sku=ME985SP121G0BLMX,,"$4,699.00",- 32%,False,False
