,name,link,price,price_discount,best_seller,promotional,category_id,number_sales,seller,delivery,rating,new_product
20,Forro Sillin Gel Comodo Bicicletas Ruta Montaï¿½a,https://articulo.mercadolibre.com.co/MCO-553488963-forro-sillin-gel-comodo-bicicletas-ruta-montana-_JM#position=21&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,11.642,,False,False,MCO12214,  2311 vendidos,HELLOFTHENORTHSTORE,,4.2,Nuevo
21,Rodillos En Acero Inoxidable Sin Desmontar La Llanta,https://articulo.mercadolibre.com.co/MCO-601054452-rodillos-en-acero-inoxidable-sin-desmontar-la-llanta-_JM#position=22&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,89.999,,False,False,MCO12214,  818 vendidos,SAYE2914632,,4.4,Nuevo
22,Luz Bicicleta Recargable Usb 300 Lumens Original,https://articulo.mercadolibre.com.co/MCO-576576089-luz-bicicleta-recargable-usb-300-lumens-original-_JM#position=23&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,20.500,,False,False,MCO12214,  747 vendidos,HELLOFTHENORTHSTORE,,4.6,Nuevo
23,Soporte De Pared Para Bicicleta Ruta Y Mtb Rack Clip,https://articulo.mercadolibre.com.co/MCO-550784743-soporte-de-pared-para-bicicleta-ruta-y-mtb-rack-clip-_JM?searchVariation=67579069028#searchVariation=67579069028&position=24&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,39.900,,False,False,MCO12214,  578 vendidos,KONEET,,4.7,Nuevo
24,Velocï¿½metro Odometro Computador Bicicleta 27 Fun Inalambrico,https://articulo.mercadolibre.com.co/MCO-587039661-velocimetro-odometro-computador-bicicleta-27-fun-inalambrico-_JM#position=25&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,53.900,,False,False,MCO12214,  236 vendidos,TIENDA ZAC,,4.6,Nuevo
25,Soporte Base Termo Caramaï¿½ola Bicicleta Ciclismo + Obsequio,https://articulo.mercadolibre.com.co/MCO-467976782-soporte-base-termo-caramanola-bicicleta-ciclismo-obsequio-_JM#position=26&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,9.405,,False,False,MCO12214,  759 vendidos,KORINTIO.COM,,4.6,Nuevo
26,Casco Bmx Titanium Sk-11 - Negro,https://articulo.mercadolibre.com.co/MCO-500509723-casco-bmx-titanium-sk-11-negro-_JM?searchVariation=49797711008#searchVariation=49797711008&position=27&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,47.500,,False,False,MCO12214,  564 vendidos,LACACHARRERIAVIRTUAL.COM,,4.9,Nuevo
27,Luz Bicicleta Recargable Usb 100 Lumens Color Rojo Blanco,https://articulo.mercadolibre.com.co/MCO-576549871-luz-bicicleta-recargable-usb-100-lumens-color-rojo-blanco-_JM#position=28&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,20.900,,False,False,MCO12214,  611 vendidos,HELLOFTHENORTHSTORE,,4.2,Nuevo
28,Herramienta Multiple Bicicleta 16 Funciones Llaves Copas,https://articulo.mercadolibre.com.co/MCO-471809427-herramienta-multiple-bicicleta-16-funciones-llaves-copas-_JM#position=29&type=item&tracking_id=f3609db1-7113-43db-8da0-d33ee36cc439,19.900,,False,False,MCO12214,  1279 vendidos,RUNBIKE.COM.CO,,4.8,Nuevo
29,Soporte Para Bicicleta Pared,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=qDVJQF0CS5W%2BraB93HC5%2Bi4bLd%2FSJCm6Vcw0OE9D3NFOk07gkwq%2BzUwplfRulKf6hGaUqvbnfiFxuzUv%2BpUYbFoZ%2FxGqu0QM%2Bwr5sEm6a77cvDnIobHgpmDPMwuAH49kYh9PwKkjhEv%2B9%2FOjrfB65LAZM6FII5zzKP5h%2FkApiVOSENgrVpDvWhXw2acpgvNpFHGTrdNHKxDUQAfO4mu0XN8IVT4r3cttSXkpDvXo%2Fj8pQVtaM6Ls6pbmqSxOLU1XaXjFwzxiNko62Je20YfvBFaJEDcvymqI0SkCltMduwEtJrkp%2BMQgKki5kpbgvZxgS1hLZzec%2BM0WpSO0m2jIXfexMn4CvYrpUVYAD1x%2FynaO2y1e2L%2BuIzCethPs0lg6AXX4tRHXkucrIOGS8rB6nhxlEVHcm38M2FFr1b%2Fa%2B1hPUph22jZUs2OQNzfOc5EhBALop0UAIsB9ZJtox6yLiXksu0SIb3Om3qwbYCmGssRkeao%2F2v2Tc5PwgiB0386F%2FJPYr7od4aPpRtksectoFJwsgpLExg3TSUaTjZGtq5t3gpff4ct1n1akbU4s7jypCmnIDX4L3lQIaBxuxw9MR3NPbrYAiFsYznMoP3c3DYXemrsM893cz8OG3vvyu%2B2HdjPXsr0mxkcsGIiK3PnflqF41gCanKT644jiBAZGHT%2B7t3YIPIZjR7KcPXNwV2g8Bvv3%2FqCM53BOfsJhfCKBuDnwXVd%2By8%2BVjKmg%2BerDqwQb1GHSAdKB2MrrW5aBAjRPX2ycxt3nVFWzkjMxurFirWABfE66pWsXo9oOOwcfHojb8Jq4YQgg%2FuajOtJxRxx%2BXbcXIwp6gLTLLAKtFY1TS0pLQRI6O5DbYnd1gMzWgeGA0NEYDE54Tldcv4kANf%2FwZVeEgTbhrEQX3SVqPk%2FyMmCLyrg5EL0dJcGjJ%2Fe2cKMMVkaigc0dXUGfnwtfBqFBQrco9aek1OiTyeK0eLKihnbHGqX3l8ZOWBxhjN8q8VrgUKTPFGYD%2FB2%2FZYlNuX3aHm4Vh8q%2FmH%2BHzdbmrTv3l2JL2KWJYwP2UV6izSsXz8OSwkzUVcJorJqc0M16Gw3ljAi5M9r36VlCew8XmXLBSULJUI1ZXp6Ji%2FJdBPp8HS9VOIT2NPRaDpIWrtxtDteo1dYcj8DIu1TVKut77X%2B2Y8E8YCyiEfXgQ%2FkCpFWYt7dS84EogS0p5Y1QvuR9%2FkoT3HFszr6qptR4%2Fd%2FX1xUFt9Cu%2BvQIelsH6l4VSiSzt5RRcYkjx8hOZxcHmuXbMvIDS98%2BRTSP7huTCJEZrySio3josXwnvV8l4fquUoAH4FV3Sw6%2BVpSQ6A4bGe%2F%2F7CC5ZM%2Fiutn0hpLQNUXW5JXL6Tr28k57rH2cL7tiFp%2B2UXCm5fV9WWLjVovpyPPWNSu68y08ph3%2BpfcvSIIfkw9ZywJESv7FYKh%2Bre75EPQw5a12eLDM4plxTVUYYoSmLHn46ZQPH077tMdNlP48XLIO3b9lBlVj4eBFq1zk9C8CA%2B7iyJgfmq%2Bi3prA,15.600,,False,True,MCO12214,  2190 vendidos,HELLOFTHENORTHSTORE,,4.7,Nuevo
