id,uid,name,parent,href,hierarchy,subcategories
MCO441527,,Placas USB y Firewire,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-placas-usb-firewire/#CATEGORY_ID=MCO441527&S=hc_computacion,3,0
MCO1693,,Procesadores,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-procesadores/#CATEGORY_ID=MCO1693&S=hc_computacion,3,0
MCO441524,,Sintonizadoras de TV,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-sintonizadoras-tv/#CATEGORY_ID=MCO441524&S=hc_computacion,3,0
MCO63859,,Tarjetas Controladoras,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-tarjetas-controladoras/#CATEGORY_ID=MCO63859&S=hc_computacion,3,0
MCO4119,,Tarjetas de Sonido,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-tarjetas-sonido/#CATEGORY_ID=MCO4119&S=hc_computacion,3,0
MCO1658,,Tarjetas de Video,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-tarjetas-video/#CATEGORY_ID=MCO1658&S=hc_computacion,3,0
MCO441518,,Zip Drives,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-zip-drives/#CATEGORY_ID=MCO441518&S=hc_computacion,3,0
MCO1699,,Otros,MCO441358,https://computacion.mercadolibre.com.co/componentes-pc-otros/#CATEGORY_ID=MCO1699&S=hc_computacion,3,0
MCO1700,,Conectividad y Redes,MCO1648,https://computacion.mercadolibre.com.co/conectividad-redes/#CATEGORY_ID=MCO1700&S=hc_computacion,2,16
MCO441373,,Adaptadores USB,MCO1700,https://computacion.mercadolibre.com.co/redes-inalambricas-adaptadores-usb/#CATEGORY_ID=MCO441373&S=hc_computacion,3,0
MCO7642,,Antenas,MCO1700,https://computacion.mercadolibre.com.co/redes-inalambricas/antenas/#CATEGORY_ID=MCO7642&S=hc_computacion,3,0
MCO430794,,Cables de Red y Accesorios,MCO1700,https://computacion.mercadolibre.com.co/conectividad-redes-cables-red-accesorios/#CATEGORY_ID=MCO430794&S=hc_computacion,3,0
MCO414121,,Fuentes Poe,MCO1700,https://computacion.mercadolibre.com.co/conectividad-redes-fuentes-poe/#CATEGORY_ID=MCO414121&S=hc_computacion,3,0
MCO414207,,Herramientas,MCO1700,https://computacion.mercadolibre.com.co/conectividad-redes-herramientas/#CATEGORY_ID=MCO414207&S=hc_computacion,3,0
