id,uid,parent,name,href,index,hierarchy,subcategories
MCO441963,,MCO8415,Llantas Industriales,https://vehiculos.mercadolibre.com.co/llantas-industriales/#CATEGORY_ID=MCO441963&S=hc_accesorios-para-vehiculos,2,3,0
MCO438193,,MCO8415,Llantas para Aviones,https://vehiculos.mercadolibre.com.co/llantas-aviones/#CATEGORY_ID=MCO438193&S=hc_accesorios-para-vehiculos,3,3,0
MCO438194,,MCO8415,Llantas para Bicicletas,https://vehiculos.mercadolibre.com.co/llantas-bicicletas/#CATEGORY_ID=MCO438194&S=hc_accesorios-para-vehiculos,4,3,0
MCO437316,,MCO8415,Llantas para Camiones,https://vehiculos.mercadolibre.com.co/llantas-camiones/#CATEGORY_ID=MCO437316&S=hc_accesorios-para-vehiculos,5,3,0
MCO23030,,MCO8415,Llantas para Carros,https://carros.mercadolibre.com.co/llantas/#CATEGORY_ID=MCO23030&S=hc_accesorios-para-vehiculos,6,3,0
MCO441962,,MCO8415,Llantas para Cuatrimotos,https://vehiculos.mercadolibre.com.co/llantas-cuatrimotos/#CATEGORY_ID=MCO441962&S=hc_accesorios-para-vehiculos,7,3,0
MCO439738,,MCO8415,Llantas para Monopatines,https://vehiculos.mercadolibre.com.co/llantas-monopatines/#CATEGORY_ID=MCO439738&S=hc_accesorios-para-vehiculos,8,3,0
MCO167778,,MCO8415,Llantas para Motos,https://motos.mercadolibre.com.co/llantas/#CATEGORY_ID=MCO167778&S=hc_accesorios-para-vehiculos,9,3,0
MCO441960,,MCO8415,Neumáticos para Llantas,https://vehiculos.mercadolibre.com.co/llantas-neumaticos/#CATEGORY_ID=MCO441960&S=hc_accesorios-para-vehiculos,10,3,0
MCO8409,,MCO8415,Otros,https://vehiculos.mercadolibre.com.co/llantas/otros/#CATEGORY_ID=MCO8409&S=hc_accesorios-para-vehiculos,11,3,0
MCO8662,,MCO1747,Navegadores GPS para Vehículos,https://vehiculos.mercadolibre.com.co/navegadores-gps/#CATEGORY_ID=MCO8662&S=hc_accesorios-para-vehiculos,9,2,4
MCO436934,,MCO8662,Accesorios,https://vehiculos.mercadolibre.com.co/navegadores-gps-accesorios/#CATEGORY_ID=MCO436934&S=hc_accesorios-para-vehiculos,0,3,0
MCO441916,,MCO8662,Mapas,https://vehiculos.mercadolibre.com.co/navegadores-gps-mapas/#CATEGORY_ID=MCO441916&S=hc_accesorios-para-vehiculos,1,3,0
MCO10742,,MCO8662,Navegadores GPS,https://electronica.mercadolibre.com.co/navegadores-gps-vehiculos/#CATEGORY_ID=MCO10742&S=hc_accesorios-para-vehiculos,2,3,0
MCO454771,,MCO2102,Control de Acceso y Asistencia,https://listado.mercadolibre.com.co/equipamiento-oficinas-control-acceso-asistencia/#CATEGORY_ID=MCO454771&S=hc_industrias-y-oficinas,0,3,0
MCO416772,,MCO2102,Cortadoras de Tarjetas,https://listado.mercadolibre.com.co/equipamiento-oficinas-cortadoras-tarjetas/#CATEGORY_ID=MCO416772&S=hc_industrias-y-oficinas,1,3,0
MCO416584,,MCO2102,Cubículos de Oficina,https://listado.mercadolibre.com.co/equipamiento-oficinas-cubiculos-oficina/#CATEGORY_ID=MCO416584&S=hc_industrias-y-oficinas,2,3,0
MCO441907,,MCO2102,Fotocopiadoras y Accesorios,https://listado.mercadolibre.com.co/equipamiento-oficinas-fotocopiadoras-accesorios/#CATEGORY_ID=MCO441907&S=hc_industrias-y-oficinas,3,3,0
MCO432928,,MCO2102,Impresoras de Credenciales,https://listado.mercadolibre.com.co/equipamiento-oficinas-impresoras-credenciales/#CATEGORY_ID=MCO432928&S=hc_industrias-y-oficinas,4,3,0
MCO8538,,MCO2102,"Mesas, Sillas y Escritorios",https://listado.mercadolibre.com.co/equipamiento-oficinas-mesas-sillas-escritorios/#CATEGORY_ID=MCO8538&S=hc_industrias-y-oficinas,5,3,0
MCO454775,,MCO2102,Muebles de Guardado,https://listado.mercadolibre.com.co/equipamiento-oficinas-muebles-guardado/#CATEGORY_ID=MCO454775&S=hc_industrias-y-oficinas,6,3,0
MCO454769,,MCO2102,Organización para Oficinas,https://listado.mercadolibre.com.co/equipamiento-oficinas-organizacion/#CATEGORY_ID=MCO454769&S=hc_industrias-y-oficinas,7,3,0
MCO441938,,MCO2102,Teléfonos y Faxes,https://listado.mercadolibre.com.co/equipamiento-oficinas-telefonos-faxes/#CATEGORY_ID=MCO441938&S=hc_industrias-y-oficinas,8,3,0
MCO172628,,MCO2102,Trituradoras,https://listado.mercadolibre.com.co/equipamiento-oficinas-trituradoras/#CATEGORY_ID=MCO172628&S=hc_industrias-y-oficinas,9,3,0
MCO113520,,MCO2102,Otros,https://listado.mercadolibre.com.co/industrias-y-oficinas/equipamiento/otros/#CATEGORY_ID=MCO113520&S=hc_industrias-y-oficinas,10,3,0
