id,uid,parent,name,href,index,hierarchy,subcategories
MCO412639,,MCO6142,Fardos,https://listado.mercadolibre.com.co/caballos-fardos/#CATEGORY_ID=MCO412639&S=hc_animales-y-mascotas,3,3,0
MCO435033,,MCO6142,Higiene y Cuidado,https://listado.mercadolibre.com.co/caballos-higiene-cuidado/#CATEGORY_ID=MCO435033&S=hc_animales-y-mascotas,4,3,0
MCO429105,,MCO6142,Suplementos para Caballos,https://listado.mercadolibre.com.co/caballos-suplementos/#CATEGORY_ID=MCO429105&S=hc_animales-y-mascotas,5,3,0
MCO74405,,MCO6142,Otros,https://listado.mercadolibre.com.co/animales-mascotas/caballos/otros/#CATEGORY_ID=MCO74405&S=hc_animales-y-mascotas,6,3,0
MCO436892,,MCO1071,Conejos,https://listado.mercadolibre.com.co/conejos/#CATEGORY_ID=MCO436892&S=hc_animales-y-mascotas,2,2,3
MCO436894,,MCO436892,Conejos,https://listado.mercadolibre.com.co/conejo/#CATEGORY_ID=MCO436894&S=hc_animales-y-mascotas,0,3,0
MCO436893,,MCO436892,Jaulas,https://listado.mercadolibre.com.co/conejos-jaulas/#CATEGORY_ID=MCO436893&S=hc_animales-y-mascotas,1,3,0
MCO436895,,MCO436892,Otros,https://listado.mercadolibre.com.co/conejos-otros/#CATEGORY_ID=MCO436895&S=hc_animales-y-mascotas,2,3,0
MCO1081,,MCO1071,Gatos,https://listado.mercadolibre.com.co/animales-mascotas/gatos/#CATEGORY_ID=MCO1081&S=hc_animales-y-mascotas,3,2,10
MCO1088,,MCO1081,Accesorios,https://listado.mercadolibre.com.co/animales-mascotas/gatos/accesorios/#CATEGORY_ID=MCO1088&S=hc_animales-y-mascotas,0,3,0
MCO434779,,MCO1081,"Alimento, Premios y Suplemento",https://listado.mercadolibre.com.co/gatos-alimento-premios-suplemento/#CATEGORY_ID=MCO434779&S=hc_animales-y-mascotas,1,3,0
MCO434788,,MCO1081,Camas y Casas,https://listado.mercadolibre.com.co/gatos-camas-casas/#CATEGORY_ID=MCO434788&S=hc_animales-y-mascotas,2,3,0
MCO437307,,MCO1081,Comederos y Bebederos,https://listado.mercadolibre.com.co/gatos-comederos-bebederos/#CATEGORY_ID=MCO437307&S=hc_animales-y-mascotas,3,3,0
MCO433076,,MCO1081,Estética e Higiene,https://listado.mercadolibre.com.co/gatos-estetica-e-higiene/#CATEGORY_ID=MCO433076&S=hc_animales-y-mascotas,4,3,0
